SuperStore PRODUCTS,,,,,
,,,,,
Product ID,Product Name,Sub-Category,Furniture,Office Supplies,Technology
FUR-ADV-10000002,"Advantus Photo Frame, Duo Pack",Furnishings,x,,
FUR-ADV-10000108,"Advantus Clock, Erganomic",Furnishings,x,,
FUR-ADV-10000183,"Advantus Photo Frame, Black",Furnishings,x,,
FUR-ADV-10000188,"Advantus Stacking Tray, Erganomic",Furnishings,x,,
FUR-ADV-10000190,"Advantus Frame, Duo Pack",Furnishings,x,,
FUR-ADV-10000571,"Advantus Frame, Erganomic",Furnishings,x,,
FUR-ADV-10000600,"Advantus Clock, Duo Pack",Furnishings,x,,
FUR-ADV-10000847,"Advantus Stacking Tray, Black",Furnishings,x,,
FUR-ADV-10001283,"Advantus Frame, Black",Furnishings,x,,
FUR-ADV-10001440,"Advantus Door Stop, Black",Furnishings,x,,
FUR-ADV-10001659,"Advantus Light Bulb, Durable",Furnishings,x,,
FUR-ADV-10001855,"Advantus Stacking Tray, Durable",Furnishings,x,,
FUR-ADV-10002329,"Advantus Light Bulb, Erganomic",Furnishings,x,,
FUR-ADV-10002601,"Advantus Photo Frame, Erganomic",Furnishings,x,,
FUR-ADV-10002632,"Advantus Door Stop, Duo Pack",Furnishings,x,,
FUR-ADV-10002889,"Advantus Clock, Durable",Furnishings,x,,
FUR-ADV-10003147,"Advantus Stacking Tray, Erganomic",Furnishings,x,,
FUR-ADV-10003326,"Advantus Light Bulb, Black",Furnishings,x,,
FUR-ADV-10004159,"Advantus Frame, Durable",Furnishings,x,,
FUR-ADV-10004223,"Advantus Clock, Black",Furnishings,x,,
FUR-ADV-10004395,"Advantus Door Stop, Durable",Furnishings,x,,
FUR-ADV-10004499,"Advantus Photo Frame, Durable",Furnishings,x,,
FUR-ADV-10004718,"Advantus Light Bulb, Duo Pack",Furnishings,x,,
FUR-ADV-10004971,"Advantus Door Stop, Erganomic",Furnishings,x,,
FUR-BAR-10000560,"Barricks Round Table, with Bottom Storage",Tables,x,,
FUR-BAR-10000831,"Barricks Training Table, Fully Assembled",Tables,x,,
FUR-BAR-10000946,"Barricks Computer Table, with Bottom Storage",Tables,x,,
FUR-BAR-10001039,"Barricks Coffee Table, Fully Assembled",Tables,x,,
FUR-BAR-10002449,"Barricks Training Table, Adjustable Height",Tables,x,,
FUR-BAR-10002710,"Barricks Coffee Table, Adjustable Height",Tables,x,,
FUR-BAR-10003465,"Barricks Computer Table, Adjustable Height",Tables,x,,
FUR-BAR-10003532,"Barricks Conference Table, Rectangular",Tables,x,,
FUR-BAR-10003576,"Barricks Training Table, with Bottom Storage",Tables,x,,
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Tables,x,,
FUR-BAR-10004553,"Barricks Training Table, Rectangular",Tables,x,,
FUR-BAR-10004561,"Barricks Wood Table, Fully Assembled",Tables,x,,
FUR-BAR-10004682,"Barricks Round Table, Fully Assembled",Tables,x,,
FUR-BEV-10000326,"Bevis Wood Table, Rectangular",Tables,x,,
FUR-BEV-10000388,"Bevis Coffee Table, Rectangular",Tables,x,,
FUR-BEV-10001048,"Bevis Conference Table, with Bottom Storage",Tables,x,,
FUR-BEV-10001217,"Bevis Wood Table, Fully Assembled",Tables,x,,
FUR-BEV-10001853,"Bevis Computer Table, Adjustable Height",Tables,x,,
FUR-BEV-10002193,"Bevis Round Table, Adjustable Height",Tables,x,,
FUR-BEV-10002369,"Bevis Training Table, Fully Assembled",Tables,x,,
FUR-BEV-10002803,"Bevis Conference Table, Fully Assembled",Tables,x,,
FUR-BEV-10003414,"Bevis Computer Table, Fully Assembled",Tables,x,,
FUR-BEV-10004805,"Bevis Conference Table, Rectangular",Tables,x,,
FUR-BEV-10004919,"Bevis Wood Table, with Bottom Storage",Tables,x,,
FUR-BO-10000002,"Bush Classic Bookcase, Mobile",Bookcases,x,,
FUR-BO-10000008,"Sauder Library with Doors, Traditional",Bookcases,x,,
FUR-BO-10000021,"Dania Corner Shelving, Metal",Bookcases,x,,
FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Bookcases,x,,
FUR-BO-10000034,"Safco Classic Bookcase, Pine",Bookcases,x,,
FUR-BO-10000035,"Dania Classic Bookcase, Pine",Bookcases,x,,
FUR-BO-10000038,"Bush Library with Doors, Pine",Bookcases,x,,
FUR-BO-10000071,"Safco 3-Shelf Cabinet, Metal",Bookcases,x,,
FUR-BO-10000087,"Dania Classic Bookcase, Mobile",Bookcases,x,,
FUR-BO-10000112,"Sauder Corner Shelving, Pine",Bookcases,x,,
FUR-BO-10000120,"Bush Birmingham Collection Bookcase, Dark Cherry",Bookcases,x,,
FUR-BO-10000148,"Dania Corner Shelving, Pine",Bookcases,x,,
FUR-BO-10000155,"Sauder Stackable Bookrack, Mobile",Bookcases,x,,
FUR-BO-10000160,"Bush 3-Shelf Cabinet, Metal",Bookcases,x,,
FUR-BO-10000170,"Dania Corner Shelving, Metal",Bookcases,x,,
FUR-BO-10000175,"Safco Library with Doors, Pine",Bookcases,x,,
FUR-BO-10000184,"Safco Library with Doors, Mobile",Bookcases,x,,
FUR-BO-10000195,"Ikea Stackable Bookrack, Metal",Bookcases,x,,
FUR-BO-10000203,"Sauder Floating Shelf Set, Mobile",Bookcases,x,,
FUR-BO-10000208,"Dania Stackable Bookrack, Pine",Bookcases,x,,
FUR-BO-10000210,"Sauder Library with Doors, Metal",Bookcases,x,,
FUR-BO-10000214,"Bush Stackable Bookrack, Mobile",Bookcases,x,,
FUR-BO-10000243,"Ikea Library with Doors, Pine",Bookcases,x,,
FUR-BO-10000259,"Ikea Library with Doors, Pine",Bookcases,x,,
FUR-BO-10000265,"Safco Floating Shelf Set, Pine",Bookcases,x,,
FUR-BO-10000268,"Safco Classic Bookcase, Traditional",Bookcases,x,,
