Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
2,MX-2012-155047,2019-10-15 00:00:00,2019-10-20 00:00:00,Standard Class,KW-16570,FUR-FU-10004015,252.16,8,0,90.72,13.45,Medium
3,MX-2012-155047,2019-10-15 00:00:00,2019-10-20 00:00:00,Standard Class,KW-16570,FUR-BO-10002352,193.28,2,0,54.08,9.63,Medium
4,MX-2012-155047,2019-10-15 00:00:00,2019-10-20 00:00:00,Standard Class,KW-16570,OFF-BI-10004428,35.44,4,0,4.96,1.37,Medium
5,MX-2012-155047,2019-10-15 00:00:00,2019-10-20 00:00:00,Standard Class,KW-16570,OFF-AR-10004594,71.6,2,0,11.44,3.79,Medium
6,MX-2012-155047,2019-10-15 00:00:00,2019-10-20 00:00:00,Standard Class,KW-16570,OFF-EN-10001375,56.12,2,0,21.32,4.72,Medium
25,US-2012-133970,2019-09-26 00:00:00,2019-09-29 00:00:00,First Class,SJ-20215,FUR-FU-10001142,181.116,9,0.4,-75.564,1.09,Medium
47,US-2012-151372,2019-04-27 00:00:00,2019-05-02 00:00:00,Standard Class,AS-10240,OFF-ST-10003184,125.44,5,0.2,-0.06,10.19,Medium
48,US-2012-151372,2019-04-27 00:00:00,2019-05-02 00:00:00,Standard Class,AS-10240,TEC-CO-10001756,153.40752,2,0.202,36.12752,14.25,Medium
63,US-2012-164609,2019-08-26 00:00:00,2019-08-28 00:00:00,Second Class,LC-16885,FUR-BO-10003499,437.688,3,0.4,-248.052,83.77,Critical
66,US-2012-104997,2019-11-05 00:00:00,2019-11-11 00:00:00,Standard Class,RK-19300,FUR-TA-10004584,132.108,2,0.7,-92.492,10.48,Medium
73,MX-2012-156720,2019-02-17 00:00:00,2019-02-22 00:00:00,Standard Class,FM-14215,OFF-SU-10001750,28.5,1,0,12.24,1.81,Medium
74,MX-2012-156720,2019-02-17 00:00:00,2019-02-22 00:00:00,Standard Class,FM-14215,TEC-AC-10004379,98,5,0,20.5,4.94,Medium
75,MX-2012-156720,2019-02-17 00:00:00,2019-02-22 00:00:00,Standard Class,FM-14215,OFF-BI-10001430,8.96,2,0,3.92,0.74,Medium
76,MX-2012-156720,2019-02-17 00:00:00,2019-02-22 00:00:00,Standard Class,FM-14215,OFF-EN-10002122,135.7,5,0,31.2,9.46,Medium
89,MX-2012-158981,2019-12-28 00:00:00,2020-01-01 00:00:00,Standard Class,SC-20845,TEC-AC-10003851,142.68,3,0,32.76,14.51,High
90,MX-2012-158981,2019-12-28 00:00:00,2020-01-01 00:00:00,Standard Class,SC-20845,FUR-BO-10004472,582,3,0.2,218.22,59.68,High
91,MX-2012-158981,2019-12-28 00:00:00,2020-01-01 00:00:00,Standard Class,SC-20845,OFF-BI-10000280,41.94,9,0,0,5.22,High
92,MX-2012-158981,2019-12-28 00:00:00,2020-01-01 00:00:00,Standard Class,SC-20845,OFF-EN-10000857,255,10,0,91.8,24.63,High
106,MX-2012-141915,2019-10-10 00:00:00,2019-10-16 00:00:00,Standard Class,MD-17350,FUR-CH-10004387,266.544,9,0.2,6.624,29.59,Medium
112,MX-2012-121006,2019-11-08 00:00:00,2019-11-12 00:00:00,Standard Class,EM-14200,OFF-SU-10002032,46.1,5,0,10.1,4.03,Medium
121,US-2012-146360,2019-03-14 00:00:00,2019-03-18 00:00:00,Standard Class,NP-18685,OFF-EN-10004580,101.94,5,0.4,-52.76,7.32,Medium
122,US-2012-112032,2019-03-19 00:00:00,2019-03-23 00:00:00,Standard Class,PO-19195,OFF-AR-10002975,73.104,4,0.4,-1.296,6.42,Medium
138,US-2012-105949,2019-03-10 00:00:00,2019-03-12 00:00:00,First Class,BM-11140,OFF-AR-10003794,81.816,7,0.4,-1.484,14.13,Medium
142,MX-2012-163272,2019-05-06 00:00:00,2019-05-10 00:00:00,Standard Class,KD-16615,TEC-CO-10004831,349.02056,2,0.002,65.74056,22.54,Medium
143,MX-2012-163272,2019-05-06 00:00:00,2019-05-10 00:00:00,Standard Class,KD-16615,OFF-LA-10004519,23.46,3,0,9.36,1.29,Medium
